movieId,title,releaseDate,runtime,budget,genres,overview,tagline,popularity,revenue,director,cast,keywords
15,Cutthroat Island (1995),1995-12-22,119,98000000,Action|Adventure|Romance,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,7.98547,10017322,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide,exotic island|treasure|map|ship|scalp|pirate
16,Casino (1995),1995-11-22,178,52000000,Crime|Drama,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,No one stays at the top forever.,10.435162,116112375,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles,poker|drug abuse|1970s|overdose|mafia|illegal prostitution|1980s
17,Sense and Sensibility (1995),1995-12-13,136,16500000,Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Lose your heart and come to your senses.,8.45943,135000000,Ang Lee,Kate Winslet|Emma Thompson|Hugh Grant|Tom Wilkinson|Alan Rickman,bowling|based on novel|servant|country life|jane austen|inheritance|rural setting|military officer|period drama|rainstorm|horse and carriage|decorum|19th century|devon
18,Four Rooms (1995),1995-12-09,98,4000000,Comedy,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",9.513253,4300000,Allison Anders|Alexandre Rockwell|Robert Rodriguez|Quentin Tarantino,Tim Roth|Antonio Banderas|Jennifer Beals|Madonna|Marisa Tomei,hotel|new year's eve|witch|bet|hotel room|sperm|anthology|los angeles|hoodlum|woman director
19,Ace Ventura: When Nature Calls (1995),1995-11-10,90,30000000,Comedy,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.,13.085057,212385533,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton,africa|indigenous|human animal relationship|bat
20,Money Train (1995),1995-11-21,103,60000000,Action|Comedy|Crime|Drama|Thriller,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Get on, or GET OUT THE WAY!",7.09181,77224232,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper,sibling relationship|subway|new york city|new york subway|train robbery
21,Get Shorty (1995),1995-10-20,105,30250000,Comedy|Crime|Thriller,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","The mob is tough, but it’s nothing like show business.",10.217069,115101622,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina,gambling|miami|based on novel|gangster|job|murder|travel|mafia|money|debt|mobster|business|hollywood|crime|violence|drugs|producer|con
22,Copycat (1995),1995-10-27,124,0,Crime|Drama|Horror|Mystery|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",9.331196,0,Jon Amiel,Sigourney Weaver|Holly Hunter|Will Patton|William McNamara|Harry Connick Jr.,police brutality|psychology|police operation|police protection|serial killer|psychologist|cowardliness
23,Assassins (1995),1995-10-06,132,50000000,Action|Crime|Thriller,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","In the shadows of life, In the business of death, One man found a reason to live...",9.604049,30303072,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson,competition|assassination|cia|bank|cat|mexican standoff|seattle|hitman|mission of murder|hidden camera|rivalry|rescue|shootout|police chase|sniper rifle|detroit|silencer|double cross|caribbean
24,Powder (1995),1995-10-27,111,0,Drama|Sci-Fi,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",An extraordinary encounter with another human being.,6.912376,0,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith,dead animal|shot to death|teenage boy|held at gunpoint|teacher student relationship|albino|fainting|jacobs ladder|christ allegory|psionic power|healing power|looking pale|flickering light|extrasensory perception
25,Leaving Las Vegas (1995),1995-10-27,112,3600000,Drama|Romance,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",I Love You... The Way You Are.,6.818282,49800000,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber,individual|prostitute|alcohol|casino|love at first sight|lovesickness|movie business|screenwriter|hotel room|dying and death|rage and hate|unsociability|alcoholism|los angeles|las vegas|alcohol abuse
26,Othello (1995),1995-12-15,123,0,Drama,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"Envy, greed, jealousy and love.",3.725128,0,Oliver Parker,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney,shakespeare|jealousy|friends|moor
27,Now and Then (1995),1995-10-20,100,12000000,Children|Drama,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",In every woman there is the girl she left behind.,4.812211,27400000,Lesli Linka Glatter,Christina Ricci|Thora Birch|Gaby Hoffmann|Ashleigh Aston Moore|Rosie O'Donnell,1970s|female friendship|coming of age|gynecologist|photocopier|truth or dare|woman director
28,Persuasion (1995),1995-09-27,104,0,Drama|Romance,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",,3.39215,0,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw|John Woodvine,captain|napoleonic wars|old flame|admiral
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995-05-16,108,18000000,Adventure|Drama|Fantasy|Mystery|Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Where happily ever after is just a dream.,8.555777,1738611,Jean-Pierre Jeunet|Marc Caro,Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus,clone|dream|island|eye|dystopia|aging|friendship|rescue|children|girl|childhood
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995-04-30,108,0,Crime|Drama,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,In 1930's Shanghai violence was not the problem. It was the solution.,1.277896,0,Zhang Yimou,Gong Li|Li Bao-Tian|Wang Xiaoxiao,servant|cabaret|shanghai|diva|uncle|mistress|umbrella
31,Dangerous Minds (1995),1995-08-11,99,23000000,Drama,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",She broke the rules... and changed their lives.,6.591613,179519401,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|John Neville,rap music|karate|high school|naval officer|teacher|amusement park
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995-12-29,129,29500000,Mystery|Sci-Fi|Thriller,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",The future is history.,19.445586,168840000,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer|David Morse,schizophrenia|philadelphia|cassandra syndrom|stockholm syndrome|time travel|post-apocalyptic|dystopia|lethal virus|monkey|cult film|subterranean
34,Babe (1995),1995-07-18,89,30000000,Children|Drama,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",A little pig goes a long way.,6.421938,254134910,Chris Noonan,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn,alarm clock|cat|duck|sheep|pig|farm|affection|piglet|heroism|talking animal|dog|separation|german shepherd|farmer|grandson|sheepdog|talking pig
35,Carrington (1995),1995-05-25,121,0,Drama|Romance,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",A Love so Unusual it has to be True,1.352213,0,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell,england|painter|conscientious objector|independent film|soldier
36,Dead Man Walking (1995),1995-12-29,122,11000000,Crime|Drama,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution.,,8.805664,39363635,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey,prison|rape|socially deprived family|penalty|death penalty|despair|death row|therapist|self-discovery|prison cell|court case|death sentence|doomed man|sentence|lethal injection|forgiveness|charity|mercy petition|rage and hate|unsociability|right and justice|court|electric chair|cowardliness
37,Across the Sea of Time (1995),1995-10-20,51,0,Documentary|IMAX,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",,0.402882,0,Stephen Low,Peter Reznick|John McDonough|Avi Hoffman|Matt Malloy,
38,It Takes Two (1995),1995-11-17,101,0,Children|Comedy,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",Two identical strangers. Two different worlds. One perfect match.,5.382257,0,Andy Tennant,Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett,matchmaking|orphan|identical twin|relationship sabotage
39,Clueless (1995),1995-07-19,97,12000000,Comedy|Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Sex. Clothes. Popularity. Is there a problem here?,8.856838,56631572,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison,puberty|high school|make a match|spoiled child|gay interest|conflict|woman director
40,"Cry, the Beloved Country (1995)",1995-12-15,106,0,Drama,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,,1.423219,676525,Darrell James Roodt,James Earl Jones|Charles S. Dutton|Jack Robinson,south africa
41,Richard III (1995),1995-12-29,104,0,Drama|War,Shakespeare's Play transplanted into a 1930s setting.,"I can smile, and murder while I smile",4.238804,0,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent|Kristin Scott Thomas|Adrian Dunbar,england|shakespeare|kidnapping|murder|king
42,Dead Presidents (1995),1995-10-06,119,10000000,Action|Crime|Drama,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","In this daring heist, the only color that counts is green",8.977703,0,Albert Hughes|Allen Hughes,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson,war veteran|vietnam|heist|money|african american|loss of virginity|redemption|revolutinoary|mercy killing|armored truck|medic|1960s|ptsd
43,Restoration (1995),1995-12-29,117,19000000,Drama,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",,3.507346,0,Michael Hoffman,Robert Downey Jr.|Meg Ryan|Sam Neill|David Thewlis|Hugh Grant,jealousy|medicine|fountain|court|wealth|spaniel|gloves|17th century|british monarchy
44,Mortal Kombat (1995),1995-08-18,101,18000000,Action|Adventure|Fantasy,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",Nothing In This World Has Prepared You For This.,7.165465,122195920,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson,martial arts|monster|island|gore|sorcerer|tournament|violence|based on video game|hand to hand combat
45,To Die For (1995),1995-09-22,106,20000000,Comedy|Drama|Thriller,"Suzanne Stone (Maretto) wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",All she wanted was a little attention.,6.024508,21284514,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas,adultery|winter|obsession|television|new hampshire|narcissistic personality disorder|gay director
46,How to Make an American Quilt (1995),1995-10-06,116,10000000,Drama|Romance,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",There's beauty in the patterns of life.,3.249645,23574130,Jocelyn Moorhouse,Winona Ryder|Anne Bancroft|Ellen Burstyn|Kate Nelligan|Jean Simmons,wedding vows|marriage proposal|married couple|monogamy|advice|marriage|quilt|love|family holiday|extramarital affair|grandmother|woman director
47,Seven (a.k.a. Se7en) (1995),1995-09-22,127,33000000,Mystery|Thriller,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Seven deadly sins. Seven ways to die.,35.633202,327311859,David Fincher,Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley|Kevin Spacey,self-fulfilling prophecy|detective|s.w.a.t.|drug dealer|evisceration|lust and impulsiveness|rage and hate|pride and vanity|immoderateness|insomnia|investigation|pension|police|serial killer
48,Pocahontas (1995),1995-06-14,81,55000000,Animation|Children|Drama|Musical|Romance,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",An American legend comes to life.,11.881083,346079773,Mike Gabriel|Eric Goldberg,Irene Bedard|Mel Gibson|David Ogden Stiers|John Kassir|Russell Means,culture clash|settler|forbidden love|colony|musical|song|gold rush|princess|romance|native american|animation|virginia|star crossed lovers|jamestown virginia|pug dog|cross cultural relationship|musket|animate tree|indian chief|based on myths or folklore|17th century|shamanism|indians vs. settlers|animal sidekick|powhatan|land claim
49,When Night Is Falling (1995),1995-05-05,96,0,Drama|Romance,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",,1.849005,0,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny|Don McKellar,professor|lgbt|woman director|lesbian director
50,"Usual Suspects, The (1995)",1995-07-19,106,6000000,Crime|Mystery|Thriller,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",Five Criminals. One Line Up. No Coincidence.,23.193865,23341568,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri|Kevin Pollak|Pete Postlethwaite,law|relatives|theft|criminal|criminal mastermind|hungarian|sibling
52,Mighty Aphrodite (1995),1995-09-13,95,15000000,Comedy|Drama|Romance,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",,7.503714,6700000,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter|F. Murray Abraham|Donald Symington,prostitute|adoption|adoptive father|childlessness|looking for  birth parents|adoptive mother|independent film|illegal prostitution|child
53,Lamerica (1994),1994-01-01,116,0,Adventure|Drama,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",,0.739028,0,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli,independent film
54,"Big Green, The (1995)",1995-09-29,100,0,Children|Comedy,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",The biggest kick of the year!,2.858002,0,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Bug Hall,sport|kids and family|soccer|woman director
55,Georgia (1995),1995-05-19,115,0,Drama,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",The toughest act to follow was their dreams.,1.667733,0,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe,alcohol|artist|music|drugs|band
