movieId,vote_average,vote_count
211,3.333,3
213,4.222,9
214,3.0,2
215,3.722,18
216,3.024,42
217,2.714,7
218,3.333,15
219,4.25,4
220,3.0,2
222,3.932,22
223,3.963,109
224,3.6,35
225,3.173,52
227,3.156,16
228,2.0,1
229,4.083,12
230,3.7,25
231,3.111,158
232,4.208,24
233,4.269,13
234,2.75,12
235,3.904,78
236,3.358,60
237,3.191,34
238,3.0,5
239,2.933,15
240,3.4,5
241,3.5,4
242,3.75,4
243,4.0,1
244,3.0,1
245,3.0,1
246,4.041,61
247,3.651,43
248,3.154,13
249,3.375,20
250,3.25,4
251,3.0,1
252,3.061,41
253,3.396,125
254,3.0,4
255,2.2,5
256,2.702,42
257,3.577,13
258,2.5,11
259,3.7,5
260,4.222,291
261,3.716,51
262,3.85,20
263,3.0,1
264,4.5,2
265,3.879,62
266,3.486,73
267,2.731,13
268,4.25,4
269,3.667,3
270,3.222,9
271,3.5,4
272,4.0,39
273,3.13,27
274,2.667,3
275,2.8,5
276,2.864,22
277,3.357,35
278,3.0,5
279,2.875,4
280,4.114,22
281,3.861,18
282,3.284,44
283,3.0,1
285,4.0,1
287,3.2,5
288,3.336,107
289,3.464,14
290,3.938,16
291,2.0,6
292,3.309,110
293,4.072,132
294,3.333,3
295,3.0,4
296,4.256,324
299,3.75,16
300,3.75,90
301,5.0,1
302,3.714,7
303,3.188,24
304,3.333,3
305,2.75,12
306,4.172,32
307,4.145,31
308,4.159,22
309,5.0,3
312,3.6,5
313,2.714,7
314,3.941,17
315,2.909,44
316,3.369,145
317,2.964,70
318,4.487,311
319,3.974,38
320,2.75,4
321,3.643,7
322,3.643,14
324,3.333,3
325,3.0,1
326,4.071,7
327,2.75,26
328,3.625,8
329,3.351,114
330,2.7,10
331,3.0,6
332,3.2,10
333,3.32,50
334,3.071,14
335,3.0,3
336,3.0,1
337,3.795,88
338,2.8,15
339,3.441,101
340,3.0,8
341,4.5,2
342,3.438,56
343,3.0,1
344,2.871,175
345,3.75,48
346,3.0,6
347,3.857,7
348,3.938,40
349,3.787,115
350,3.329,70
351,3.192,13
352,3.357,7
353,3.59,67
354,3.5,2
355,2.205,39
356,4.054,341
357,3.684,122
358,2.429,7
360,2.5,12
361,3.38,25
362,3.45,30
363,4.5,5
364,3.778,200
365,3.0,10
366,3.273,11
367,3.07,157
368,3.535,71
369,3.056,9
370,3.052,67
371,3.25,20
372,3.059,34
373,4.139,18
374,2.1,20
375,3.667,3
376,3.426,47
377,3.567,180
378,3.25,12
379,3.262,21
380,3.515,198
381,3.138,29
382,3.105,19
383,3.115,13
384,3.25,4
387,3.667,3
388,3.667,6
389,4.0,1
390,4.1,5
391,3.0,3
392,2.667,3
393,2.1,5
401,4.0,1
405,2.312,16
407,3.05,10
408,3.0,1
409,2.5,1
410,3.151,73
412,3.54,25
413,2.308,26
414,2.5,7
415,2.833,12
416,3.25,6
417,3.615,13
418,3.0,2
419,2.6,15
420,2.632,57
421,3.0,11
422,3.722,9
423,3.393,14
424,3.0,3
425,3.875,4
426,3.167,12
427,2.429,14
428,3.717,23
429,2.556,9
431,3.672,32
432,2.651,63
433,2.857,7
434,3.085,106
435,2.464,55
436,2.2,5
437,2.75,4
438,3.0,2
439,1.0,1
440,3.561,90
441,3.662,37
442,2.968,95
443,2.667,6
444,3.0,7
445,3.111,9
446,4.0,9
447,4.0,1
448,3.591,11
449,3.5,2
450,3.438,16
451,3.429,7
452,4.0,8
453,2.4,5
454,3.473,110
455,2.839,31
456,3.333,6
457,3.953,213
458,3.75,4
459,3.5,2
460,2.5,2
461,3.3,5
463,3.429,7
464,3.111,9
465,3.5,5
466,3.169,59
467,3.333,3
468,3.303,33
469,3.125,8
470,2.0,3
471,3.878,49
472,3.5,2
473,1.0,3
474,3.862,80
475,4.21,31
476,4.0,1
477,3.594,16
479,3.25,4
480,3.706,274
481,3.344,32
482,2.85,10
483,2.75,4
484,2.75,6
485,2.887,53
486,2.5,2
487,3.5,2
488,3.125,4
489,2.625,12
490,3.429,14
491,3.286,21
492,3.738,21
493,3.304,23
494,3.475,61
495,3.812,8
496,2.667,3
497,3.983,60
498,2.667,3
499,3.0,1
500,3.467,153
501,4.1,15
502,2.438,16
504,3.2,5
505,2.714,7
506,3.111,9
507,3.5,17
508,3.669,86
509,3.75,78
510,2.3,5
511,3.0,3
512,3.5,2
513,2.5,6
514,3.647,17
515,4.043,46
516,2.923,13
517,3.094,16
518,2.136,11
519,2.396,24
520,3.062,65
521,3.6,10
522,2.833,9
523,3.333,6
524,3.556,36
526,1.0,1
527,4.303,244
528,2.5,2
529,3.933,45
531,3.565,31
532,3.25,18
533,3.333,6
534,4.2,25
535,3.885,26
536,2.25,4
537,3.05,10
538,3.9,25
539,3.428,125
540,2.694,18
541,4.038,146
542,2.737,19
543,3.346,52
544,2.611,9
546,1.735,17
547,3.0,5
548,3.0,9
549,4.125,12
550,3.273,11
551,3.65,90
552,3.14,50
553,3.482,57
554,3.0,2
555,3.886,70
556,3.9,15
558,2.667,9
559,5.0,1
561,3.0,1
562,3.717,30
563,3.0,1
564,3.0,1
565,4.5,2
567,4.0,2
568,3.5,2
569,2.5,6
571,4.0,1
573,1.0,1
574,3.333,9
575,3.571,14
577,2.0,2
580,3.0,3
581,4.235,17
582,4.0,1
585,3.073,41
586,3.112,129
587,3.325,126
588,3.674,215
589,4.006,237
590,3.718,202
592,3.398,196
593,4.138,304
594,3.662,71
595,3.75,176
596,3.583,66
597,3.361,147
599,4.036,14
600,4.0,1
603,3.0,1
605,3.342,19
606,2.75,6
608,4.257,224
609,3.107,14
610,3.348,33
611,3.0,7
612,2.667,6
613,3.5,13
614,1.5,2
615,3.5,2
616,3.464,42
617,1.0,1
619,2.125,4
620,3.25,2
621,3.333,3
626,2.0,1
627,3.333,9
628,3.88,50
630,3.5,2
631,3.25,10
632,4.5,2
633,4.0,3
635,3.857,7
637,2.759,29
638,4.0,1
639,3.2,5
640,3.333,18
647,3.629,31
648,3.533,168
650,3.188,8
651,1.0,1
653,3.113,62
656,3.0,2
659,4.25,2
661,3.632,53
662,3.111,9
663,3.412,17
664,3.5,2
665,3.4,5
667,3.667,3
668,4.0,4
670,3.167,3
671,4.03,33
673,2.68,50
674,2.69,21
678,3.833,12
679,4.0,1
680,3.917,6
681,3.0,1
685,3.125,4
687,3.0,2
688,2.45,10
690,4.0,1
691,3.357,7
692,2.0,1
694,2.85,10
695,4.0,2
696,2.0,2
697,3.333,3
698,3.0,1
700,3.143,7
702,5.0,1
703,3.0,1
704,3.0,6
705,2.833,3
707,3.111,27
708,3.402,61
709,2.875,12
710,1.5,2
711,3.222,9
714,3.545,11
715,2.667,3
718,3.0,3
719,2.809,34
720,4.0,45
721,4.0,1
722,4.0,2
724,3.111,36
725,2.375,4
726,3.0,2
728,3.969,16
731,2.75,4
733,3.737,135
735,4.125,8
736,3.25,150
737,2.367,15
741,4.148,27
742,2.75,6
743,2.682,22
745,4.194,62
746,2.0,1
747,2.75,2
748,3.273,22
750,4.21,105
753,3.5,5
754,3.667,3
755,2.0,1
756,3.0,1
757,4.0,1
759,5.0,2
760,3.333,3
761,3.111,18
762,2.462,39
764,5.0,1
765,2.806,18
766,4.222,9
767,4.0,1
769,3.0,1
775,2.0,1
778,4.141,124
779,2.625,4
780,3.484,218
781,3.75,4
782,3.333,6
783,3.357,49
784,2.551,59
785,3.333,60
786,3.109,69
787,4.5,2
788,3.081,68
793,4.0,1
798,3.417,12
799,3.229,24
800,4.071,35
801,3.208,12
802,3.326,72
803,4.25,2
804,2.893,14
805,3.765,49
806,2.889,9
808,3.25,2
809,2.75,4
810,2.0,8
813,2.667,3
816,3.0,1
818,2.607,14
820,5.0,1
824,3.0,3
828,3.375,4
829,1.0,7
830,3.135,26
831,3.5,2
832,3.566,76
833,2.625,4
834,3.0,1
835,3.167,6
836,2.577,13
837,3.667,18
838,3.817,41
839,3.273,11
840,3.5,2
841,3.714,7
842,2.333,3
844,3.0,1
845,5.0,1
846,4.0,3
848,3.455,11
849,2.696,28
850,4.5,4
851,3.0,8
852,3.26,52
854,4.0,1
858,4.488,200
861,3.5,12
864,3.5,2
865,4.0,1
866,3.87,27
867,3.0,1
869,2.75,4
870,1.667,3
872,5.0,1
875,4.0,2
876,5.0,1
879,3.3,5
880,2.38,25
881,3.0,4
882,2.667,3
885,2.0,1
886,1.5,1
888,3.667,3
889,4.0,1
891,2.222,9
892,3.786,7
893,4.667,3
896,3.667,3
897,3.625,4
898,4.351,37
899,4.195,64
900,3.955,22
901,3.917,12
902,3.591,44
903,4.225,69
904,4.315,92
905,4.38,25
906,3.654,13
907,4.091,11
908,4.27,87
909,3.803,33
910,3.947,66
911,4.111,27
912,4.235,117
913,4.387,62
914,3.647,51
915,3.891,23
916,4.019,26
917,3.688,8
918,3.571,14
919,3.957,117
920,4.044,68
921,3.9,20
922,4.295,39
923,4.2,85
924,3.886,123
926,4.434,38
927,4.5,5
928,4.174,23
929,3.8,5
930,4.119,21
931,3.812,16
932,3.594,16
933,3.966,29
934,3.583,24
935,4.083,6
936,3.692,13
937,3.8,5
938,3.818,11
939,4.0,1
940,3.972,18
941,3.875,4
942,3.885,26
943,4.0,12
944,3.0,3
945,4.0,21
946,4.3,10
947,3.682,11
948,3.591,11
949,3.594,16
950,4.206,17
951,4.212,26
952,3.357,21
953,4.153,72
954,4.226,31
955,4.067,30
956,3.167,3
957,4.0,1
960,2.5,2
961,5.0,1
962,3.0,2
963,3.0,2
964,2.5,2
965,3.844,16
966,4.0,1
968,4.111,27
969,4.42,50
970,3.5,5
971,3.794,17
972,2.5,1
973,4.286,7
976,3.0,2
980,1.0,1
981,1.0,1
982,3.0,4
984,4.5,2
986,3.536,14
987,3.0,1
988,3.75,4
990,2.5,1
991,3.5,12
992,2.5,2
994,4.25,22
996,3.25,8
997,2.667,3
998,3.667,3
999,3.344,16
1003,3.0,5
1004,2.5,3
1005,2.5,7
1006,3.0,6
1007,2.727,11
1008,3.5,5
1009,3.25,18
1010,3.029,17
1011,3.611,9
1012,3.605,19
1013,3.381,21
1014,3.3,10
1015,3.261,23
1016,3.1,10
1017,3.265,17
1018,3.4,10
1019,3.662,37
1020,3.328,29
1021,3.179,14
1022,3.564,55
1023,4.088,17
1024,3.25,4
1025,3.596,26
1026,2.5,1
1027,3.114,44
1028,3.814,78
1029,3.702,42
1030,3.222,18
1031,3.5,22
1032,3.612,49
1033,3.524,21
1034,3.95,10
1035,3.944,80
1036,3.864,151
1037,2.833,27
1040,4.0,1
1041,3.865,26
1042,3.49,49
1043,2.375,4
1044,3.0,1
1046,3.875,8
1047,3.217,30
1049,3.619,21
1050,3.556,9
1051,3.0,7
1053,2.0,1
1054,1.5,2
1055,2.0,3
1056,4.0,4
1057,3.824,17
1059,3.526,58
1060,4.226,42
1061,3.545,33
1063,4.333,3
1064,3.0,14
1066,4.409,11
1067,4.0,1
1068,3.5,1
1069,3.667,3
1073,3.753,148
1076,3.75,2
1077,4.051,39
1078,3.842,19
1079,3.972,89
1080,3.857,91
1081,3.672,29
1082,3.688,16
1083,3.0,8
1084,3.875,56
1085,3.5,8
1086,3.942,26
1087,3.75,4
1088,3.358,53
1089,4.163,132
1090,3.934,68
1091,2.63,27
1092,3.295,56
1093,3.111,36
1094,3.92,50
1095,3.87,27
1096,4.038,26
1097,3.769,160
1099,3.545,11
1100,2.579,19
1101,3.324,74
1103,3.938,40
1104,3.912,40
1105,1.75,2
1111,3.938,8
1112,3.667,3
1113,2.429,7
1114,3.167,3
1120,3.621,33
1123,4.0,2
1124,3.607,28
1125,3.411,28
1126,2.727,11
1127,3.613,71
1128,3.417,6
1129,3.312,48
1130,3.75,8
1131,4.088,17
1132,3.656,16
1133,3.0,1
1135,3.348,23
1136,4.224,145
1137,4.0,1
1145,3.0,1
1147,4.438,16
1148,4.093,75
1150,3.8,10
1151,4.0,1
1152,3.0,1
1153,3.0,1
1154,1.0,1
1161,4.062,8
1162,3.6,5
1163,2.5,2
1164,1.0,1
1165,1.5,1
1167,2.0,3
1168,3.0,1
1169,4.0,1
1171,3.581,31
1172,4.261,46
1173,3.211,19
1174,3.0,1
1175,4.167,30
1176,3.778,9
1177,3.769,13
1178,4.367,15
1179,3.85,40
1180,3.667,3
1181,4.0,1
1183,3.601,74
1184,4.0,4
1185,3.75,28
1186,3.638,29
1187,3.5,11
1188,3.397,34
1189,4.0,20
1190,2.1,5
1191,3.55,10
1192,4.389,9
1193,4.257,144
1194,3.733,15
1196,4.233,234
1197,4.209,163
1198,4.193,220
1199,4.032,62
1200,3.924,125
1201,3.939,57
1202,3.643,7
1203,4.304,74
1204,4.216,51
1206,4.0,121
1207,4.181,80
1208,4.138,112
1209,4.219,16
1210,4.06,217
1211,4.211,19
1212,4.25,38
1213,4.202,131
1214,3.988,127
1215,3.817,52
1216,2.9,5
1217,4.423,26
1218,4.214,14
1219,4.253,77
1220,3.894,94
1221,4.385,135
1222,4.034,104
1223,4.09,39
1224,4.182,22
1225,4.155,100
1226,3.577,13
1227,4.182,22
1228,4.35,50
1230,4.094,80
1231,3.911,45
1232,3.85,10
1233,4.167,51
1234,4.016,63
1235,3.784,44
1236,3.8,5
1237,4.281,16
1238,4.147,17
1240,3.959,158
1241,3.0,11
1242,3.836,58
1243,4.045,22
1244,3.963,54
1245,3.852,27
1246,3.784,95
1247,4.124,89
1248,4.237,19
1249,3.91,39
1250,4.138,65
1251,3.825,20
1252,4.336,76
1253,3.8,20
1254,4.3,30
1255,3.542,12
1256,4.132,34
1257,3.812,24
1258,4.03,101
1259,4.094,112
1260,4.262,21
1261,3.788,33
1262,3.949,49
1263,3.865,48
1264,4.286,14
1265,3.839,165
1266,3.886,57
1267,4.122,49
1268,3.471,17
1269,3.946,37
1270,4.015,226
1271,3.7,40
1272,4.1,40
1273,3.737,19
1274,3.838,34
1275,3.429,49
1276,4.272,46
1277,4.0,11
1278,4.088,74
1279,3.75,12
1280,4.158,19
1281,4.043,23
1282,3.758,64
1283,4.119,21
1284,3.984,32
1285,3.803,61
1286,3.639,18
1287,3.891,46
1288,4.085,82
1289,3.923,13
1290,3.583,12
1291,4.017,147
1292,4.089,28
1293,3.978,46
1295,3.118,17
1296,3.823,31
1297,3.375,20
1298,3.646,24
1299,4.271,35
1300,4.053,19
1301,3.833,9
1302,3.575,67
1303,3.933,15
1304,4.173,75
1305,4.292,12
1306,2.857,7
1307,3.92,87
1310,4.5,1
1311,0.5,1
1312,5.0,1
1317,4.0,1
1320,3.182,55
1321,3.632,38
1322,2.5,2
1323,2.25,4
1324,1.0,1
1325,1.0,1
1326,2.667,3
1327,3.115,13
1328,1.0,1
1329,3.0,1
1330,3.429,7
1331,2.333,3
1332,3.5,7
1333,3.755,51
1334,3.133,15
1335,4.0,1
1336,3.5,2
1337,2.833,3
1339,3.298,52
1340,3.75,8
1341,4.0,4
1342,3.059,17
1343,3.744,39
1344,3.632,19
1345,3.676,37
1346,3.111,9
1347,3.281,32
1348,3.81,21
1349,4.5,2
1350,3.36,25
1351,4.0,2
1352,3.5,4
1353,2.962,13
1354,3.975,20
1355,2.5,2
1356,3.878,82
1357,3.946,37
1358,3.886,66
1359,2.136,11
1361,4.154,13
1363,3.357,7
1365,3.6,5
1366,3.962,13
1367,2.959,37
1369,2.5,2
1370,3.288,66
1371,3.053,47
1372,3.266,47
1373,2.78,25
1374,3.75,72
1375,3.315,54
1376,3.5,65
1377,3.086,64
1378,3.25,28
1379,2.821,14
1380,3.478,90
1381,2.447,19
1382,2.0,2
1384,4.0,1
1385,3.0,18
1387,3.778,108
1388,2.759,27
1389,1.792,12
1390,3.5,6
1391,2.994,80
1392,3.375,8
1393,3.698,106
1394,3.95,70
1395,3.429,14
1396,3.618,51
1397,3.0,2
1398,3.5,4
1399,3.5,10
1401,3.5,8
1404,2.75,4
1405,3.033,46
1406,3.25,4
1407,3.411,73
1408,3.616,43
1409,2.985,33
1410,2.75,4
1411,4.16,25
1413,3.5,4
1414,3.7,10
1415,3.5,2
1416,3.182,22
1417,2.0,1
1419,3.6,10
1420,5.0,1
1422,3.1,15
1423,4.25,2
1425,2.944,9
1427,3.2,5
1428,5.0,1
1429,3.654,13
1430,2.5,1
1431,2.722,9
1432,3.4,5
1433,3.0,1
1437,3.5,3
1438,2.682,22
1440,3.0,4
1441,3.375,28
1442,2.5,2
1444,4.0,1
1445,2.0,3
1446,3.833,9
1447,2.833,3
1449,3.879,29
1450,5.0,1
1453,2.357,7
1454,3.0,1
1455,5.0,1
1456,1.5,2
1457,3.05,10
1458,3.0,1
1459,3.05,20
1460,3.333,6
1461,2.714,14
1463,4.5,2
1464,3.7,20
1465,4.0,1
1466,3.885,39
1468,2.333,3
1472,4.0,1
1473,2.0,2
1474,1.667,6
1475,4.0,3
1476,3.522,23
1479,3.071,35
1480,3.583,6
1482,3.0,2
1483,3.278,9
1484,3.833,3
1485,3.19,71
1487,3.188,8
1488,3.0,15
1489,3.5,4
1490,0.75,2
1493,4.0,1
1495,1.0,2
1497,2.833,3
1498,3.0,7
1499,2.018,28
1500,3.969,64
1501,3.0,1
1502,1.75,2
1503,2.667,6
1504,4.5,2
1507,3.0,2
1508,3.333,3
1513,3.256,45
1515,2.95,20
1516,4.0,4
1517,3.379,107
1518,3.231,13
1523,4.0,2
1525,1.5,2
1526,2.167,6
1527,3.678,118
1529,3.833,3
1531,5.0,1
1532,2.5,1
1535,3.8,5
1537,3.972,18
1539,1.0,1
1541,2.875,16
1542,3.8,5
1543,5.0,1
1544,2.888,67
1545,4.25,2
1546,2.5,2
1549,2.0,1
1550,3.0,1
1552,3.263,59
1554,3.333,6
1555,4.0,1
1556,1.652,23
1562,2.149,47
1563,5.0,1
1564,4.5,2
1566,3.5,32
1569,3.298,52
1570,2.5,1
1571,1.0,1
1572,4.167,3
1573,3.452,83
1575,5.0,1
1580,3.663,190
1581,2.0,5
1582,3.5,2
1583,1.5,2
1584,3.728,92
1586,2.759,27
1587,3.333,24
1588,3.088,17
1589,3.395,19
1590,2.957,23
1591,2.7,15
1592,2.786,7
1593,2.786,7
1594,3.429,14
1595,1.833,3
1596,2.333,3
1597,3.352,44
1598,3.75,4
1599,1.75,4
1600,2.125,4
1601,3.5,4
1602,1.0,2
1603,2.4,10
1604,3.0,2
1605,2.8,5
1606,2.25,4
1608,3.264,70
1609,3.0,2
1610,3.897,97
1611,4.083,12
1612,3.0,6
1613,3.0,1
1614,3.36,25
1615,3.65,10
1616,3.536,14
1617,4.12,125
1619,3.447,19
1620,3.375,20
1621,3.0,2
1623,2.3,5
1624,4.0,1
1625,3.921,76
1626,1.667,3
1627,2.864,11
1629,3.4,5
1631,3.5,2
1632,2.5,1
1633,3.375,8
1635,3.824,17
1636,1.0,2
1639,3.569,65
1640,1.0,1
1641,3.773,64
1642,2.375,4
1643,4.05,10
1644,2.517,30
1645,3.458,60
1646,2.571,7
1647,2.667,6
1648,3.167,9
1649,3.833,6
1652,4.0,2
1653,3.679,84
1654,3.5,2
1655,3.5,2
1657,3.0,1
1658,3.375,8
1660,3.0,2
1661,3.125,4
1663,3.7,40
1665,3.25,8
1667,2.75,8
1668,1.833,3
1669,4.0,1
1670,3.8,5
1671,3.5,1
1672,3.667,15
1673,3.919,62
1674,4.045,56
1676,3.097,72
1678,3.738,21
1680,3.692,26
1681,1.889,9
1682,3.887,137
1683,3.75,10
1684,3.4,5
1686,3.6,5
1687,2.952,21
1688,3.682,22
1689,3.292,12
1690,3.033,45
1692,5.0,1
1693,3.66,25
1694,3.812,16
1696,2.0,1
1699,3.667,9
1701,3.5,16
1702,2.906,16
1703,2.6,5
1704,4.14,157
1707,2.222,9
1711,3.375,20
1713,2.5,16
1715,3.0,1
1717,3.0,32
1719,4.196,23
1721,3.332,164
1722,3.286,49
1726,1.929,7
1727,3.0,7
1728,4.0,1
1729,3.693,57
1730,3.9,5
1731,1.0,1
1732,3.996,120
1733,2.0,1
1734,3.846,13
1735,2.933,15
1739,0.75,2
1744,2.5,4
1746,2.5,3
1747,3.458,59
1748,3.676,51
1750,2.0,1
1752,2.929,7
1753,3.0,10
1754,3.808,13
1755,3.0,2
1756,3.5,1
1757,3.5,2
1759,4.5,1
1760,1.808,13
1762,3.125,4
1767,3.0,2
1769,2.611,9
1771,5.0,1
1772,3.133,15
1777,3.236,70
1779,2.737,19
1783,2.667,3
1784,3.722,99
1785,3.8,5
1788,4.25,4
1791,3.25,4
1792,3.364,22
1794,3.75,6
1795,4.0,1
1796,2.0,1
1797,3.833,12
1798,2.333,3
1799,3.556,9
1801,2.818,22
1804,3.0,3
1805,3.231,39
1806,1.5,2
1807,2.25,2
1809,4.0,4
1810,3.533,15
1812,3.0,2
1816,2.5,4
1819,5.0,1
1821,3.111,9
1822,3.0,1
1824,3.0,3
1826,0.75,2
1827,4.0,9
1831,2.135,26
1833,2.727,11
1834,3.913,23
1835,3.391,23
1836,2.889,9
1837,2.0,3
1839,2.25,4
1840,2.875,4
1841,3.25,4
1844,4.0,3
1845,4.125,12
1846,4.5,2
1848,2.7,10
1852,3.0,1
1854,4.0,1
1855,2.4,5
1856,3.312,8
1858,3.417,6
1859,5.0,2
1860,4.667,3
1861,2.0,1
1862,2.312,8
1863,2.214,7
1864,3.0,1
1865,3.167,6
1866,3.6,5
1870,4.0,1
1873,3.654,13
1874,3.0,1
1875,3.0,6
1876,3.146,48
1878,3.0,1
1880,4.0,2
1881,4.0,4
1882,2.179,28
1883,3.29,31
1884,3.625,44
1885,3.667,24
1886,1.5,1
1887,2.667,6
1888,2.933,15
1889,3.0,6
1891,2.0,1
1892,3.261,23
1894,2.913,23
1895,3.071,14
1896,3.0,1
1897,3.214,7
1900,3.7,5
1901,3.0,1
1902,1.0,2
1903,4.5,2
1904,3.875,4
1907,3.607,42
1909,3.223,47
1910,4.0,1
1911,2.759,27
1912,3.759,29
1913,3.786,7
1914,3.654,13
1916,3.679,14
1917,3.044,113
1918,3.06,42
1919,4.0,2
1920,2.765,17
1921,3.738,40
1922,3.667,3
1923,3.553,123
1924,3.556,9
1925,4.25,2
1926,2.0,1
1927,4.286,14
1928,3.0,1
1929,2.857,7
1931,4.25,10
1932,2.75,2
1933,5.0,1
1934,4.167,9
1935,3.875,8
1936,4.0,4
1937,3.5,4
1938,4.0,7
1939,4.636,11
1940,4.071,7
1941,4.417,6
1942,4.333,6
1943,3.333,6
1944,3.925,20
1945,4.448,29
1946,4.208,12
1947,3.989,45
1948,4.458,12
1949,3.6,10
1950,3.909,22
1951,3.571,14
1952,4.064,39
1953,4.022,46
1954,3.79,69
1955,3.839,31
1956,3.887,31
1957,3.94,42
1958,3.868,34
1959,3.8,30
1960,4.032,31
1961,3.966,119
1962,3.625,40
1963,4.15,10
1964,3.9,15
1965,3.688,32
1966,3.583,12
1967,3.625,36
1968,3.983,117
1969,2.688,8
1970,2.6,5
1971,2.667,3
1972,2.6,5
1973,2.333,3
1974,3.088,17
1975,1.944,9
1976,2.167,6
1977,1.667,6
1978,2.5,2
1979,2.25,4
1980,3.0,1
1981,2.333,3
1982,3.538,26
1983,3.188,8
1984,1.875,8
1985,2.2,5
1986,3.5,2
1987,2.5,4
1988,3.0,2
1989,2.0,1
1990,3.0,1
1991,2.95,10
1992,2.0,5
1993,2.0,4
1994,3.724,38
1995,2.375,8
1996,1.75,4
1997,3.727,64
1998,3.5,2
1999,2.667,3
2000,3.589,90
2001,3.211,57
2002,2.974,39
2003,3.17,47
2004,2.571,21
2005,3.676,51
2006,3.427,55
2007,2.0,1
2008,1.0,1
2009,3.471,17
2010,3.981,26
2011,3.48,99
2012,3.266,94
2013,3.179,28
2014,3.167,15
2015,3.263,19
2016,2.5,4
2017,3.143,7
2018,3.456,34
2019,4.278,54
2020,3.926,34
2021,3.083,30
2022,3.423,13
2023,3.4,35
2024,3.333,3
2025,2.885,13
2026,3.2,5
2027,2.188,8
2028,3.945,191
2029,4.2,5
2031,3.25,2
2032,3.0,1
2033,3.042,12
2034,3.222,9
2035,3.0,1
2036,2.5,4
2037,3.667,3
2038,3.562,8
2039,3.5,1
2040,3.333,6
2041,3.333,6
2042,2.75,10
2043,3.562,8
2044,2.25,4
2045,3.4,5
2046,3.824,17
2047,4.0,1
2048,3.875,4
2049,2.5,1
2050,2.833,6
2051,3.75,4
2052,3.286,7
2053,2.353,17
2054,2.743,76
2055,4.0,1
2056,3.5,1
2057,3.75,4
2058,3.621,33
2059,3.222,18
2060,3.042,12
2062,2.0,2
2063,1.0,1
2064,4.393,42
2065,3.619,21
2066,4.071,7
2067,3.659,22
2068,4.2,10
2069,3.778,9
2070,4.038,13
2071,3.75,8
2072,3.053,19
2073,4.0,5
2074,4.0,1
2075,3.833,3
2076,4.037,41
2077,3.333,6
2078,3.739,46
2079,3.5,1
2080,3.686,51
2081,3.679,78
